#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
New Region Structure,New Region Structure,Saskatchewan,03002,,Updated Description1
New Region Structure,New Region Structure,Quebec UN1,03004,16729344,Updated Description1
New Region Structure,New Region Structure,Alberta,03007,,
New Region Structure,New Region Structure,Ontario UN1,03008,,
New Region Structure,New Region Structure,British Columbia,03009,,
New Region Structure,New Region Structure,Manitoba,04005,,
New Region Structure,New Region Structure,New Brunswick,04007,16729344,
New Region Structure,New Region Structure,Nova Scotia,04009,,
#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
Quebec,03004,Montreal - 343,03004003,,
Quebec,03004,Quebec City - 344,03004004,,
Quebec,03004,Laval - 346,03004006,,
Ontario,03008,Toronto - 381 UN1,03008001,16729344,Updated Description1
Ontario,03008,Ottawa - 383 UN1,03008003,,
Ontario,03008,Windsor - 385,03008005,,
Ontario,03008,Brantford - 381,03008011,16729344,
Ontario,03008,Burlington - 3814,03008014,,Updated Description1
British Columbia,03009,Vancouver - 391,03009001,,
Nova Scotia,04009,Halifax - 495,04009005,,
Nova Scotia,04009,Cape Breton - 497,04009007,,
#Parent_Name,Parent_Reference,Child_Name,Child_Reference,Child_Color,Child_Description
Quebec City - 344,03004004,344-0928,030040040928,,
Laval - 346,03004006,346-0207,030040060207,,
Ottawa - 383,03008003,383-0100 UN1,030080030100,,
Ottawa - 383,03008003,383-0540,030080030540,16729344,
Ottawa - 383,03008003,383-0541,030080030541,,Updated Description1
Ottawa - 383,03008003,383-0881 UN1,030080030881,16729344,Updated Description1
Cape Breton - 497,04009007,497-0814,040090070814,,
